1001,MARUTI SWIFT,1248 CC,HATCHBACK,DIESEL,25.2,WHITE
1002,MARUTI SWIFT DZIRE,1248 CC,SEDAN,PETROL,18.2,BLACK
1003,VOLSWAGEN POLO,1250 CC,HATCHBACK,DIESEL,25.2,RED
1004,VOLSWAGEN VENTO,1600 CC,SEDAN,PETROL,17.5,GREY
1005,HYUNDAI I20,1500 CC,HATCHBACK,PETROL,17.5,SILVER
1006,HYUNDAI VERNA,1800 CC,SEDAN,DIESEL,23.5,GREY
1007,FORD FIGO,1100 CC,HATCHBACK,PETROL,18.5,SILVER
1008,FORD FIESTA,1500 CC,SEDAN,DIESEL,22.5,GREY
1009,MARUTI CIAZ,1600 CC,SEDAN,DIESEL,25.2,SILVER
1010,MARUTI KIZASHI,2048 CC,SEDAN,PETROL,18.2,BLACK
1011,VOLSWAGEN POLO,1250 CC,HATCHBACK,DIESEL,25.2,SILVER
1012,VOLSWAGEN VENTO,1600 CC,SEDAN,PETROL,17.5,BLACK
1013,HYUNDAI I20,1500 CC,HATCHBACK,PETROL,17.5,WHITE
1014,HYUNDAI VERNA,1800 CC,SEDAN,DIESEL,23.5,BLACK
1015,FORD FIGO,1100 CC,HATCHBACK,PETROL,18.5,SILVER
1016,FORD FIESTA,1500 CC,SEDAN,DIESEL,22.5,GREY
1017,MARUTI SWIFT,1248 CC,HATCHBACK,DIESEL,25.2,WHITE
1018,MARUTI SWIFT DZIRE,1248 CC,SEDAN,PETROL,18.2,GREY
1019,VOLSWAGEN POLO,1250 CC,HATCHBACK,DIESEL,25.2,RED
1020,VOLSWAGEN VENTO,1600 CC,SEDAN,PETROL,17.5,GREY
1021,HYUNDAI I20,1500 CC,HATCHBACK,PETROL,17.5,BLACK
1022,HYUNDAI VERNA,1800 CC,SEDAN,DIESEL,23.5,GREY
1023,FORD FIGO,1100 CC,HATCHBACK,PETROL,18.5,SILVER
1024,FORD FIESTA,1500 CC,SEDAN,DIESEL,22.5,GREY
1025,MARUTI SWIFT,1248 CC,HATCHBACK,DIESEL,25.2,WHITE
1026,MARUTI SWIFT DZIRE,1248 CC,SEDAN,PETROL,18.2,BLACK
1027,VOLSWAGEN POLO,1250 CC,HATCHBACK,DIESEL,25.2,RED
1028,VOLSWAGEN VENTO,1600 CC,SEDAN,PETROL,17.5,GREY
1029,HYUNDAI I20,1500 CC,HATCHBACK,PETROL,17.5,SILVER
1030,HYUNDAI VERNA,1800 CC,SEDAN,DIESEL,23.5,GREY
1031,FORD FIGO,1100 CC,HATCHBACK,PETROL,18.5,SILVER
1032,FORD FIESTA,1500 CC,SEDAN,DIESEL,22.5,GREY
1033,HYUNDAI VERNA,1800 CC,SEDAN,DIESEL,23.5,GREY
1034,FORD FIGO,1100 CC,HATCHBACK,PETROL,18.5,SILVER
1035,FORD FIESTA,1500 CC,SEDAN,DIESEL,22.5,GREY
1036,HYUNDAI I20,1500 CC,HATCHBACK,PETROL,17.5,SILVER
